team,side,book_odds,p_true,prob_band,kalshi_price,edge,volume,contracts,expected_profit,ev_per_dollar,market_ticker,event_ticker,market_type,total_line,matchup_key
monmouth at unc wilmington total 144.5 OVER,YES,-109.0,0.5,mid,0.46,0.04,354,5,0.2,0.086957,KXNCAAMBTOTAL-26FEB19MONMUNCW-144,KXNCAAMBTOTAL-26FEB19MONMUNCW,TOTAL,144.5,monmouth@unc wilmington
gardnerwebb at radford total 162.5 OVER,YES,-109.75,0.499459,mid,0.46,0.039459,3725,5,0.2,0.08578,KXNCAAMBTOTAL-26FEB19WEBBRAD-162,KXNCAAMBTOTAL-26FEB19WEBBRAD,TOTAL,162.5,gardnerwebb@radford
southern utah at tarleton state total 145.5 OVER,YES,-109.0,0.5,mid,0.47,0.03,6947,4,0.12,0.06383,KXNCAAMBTOTAL-26FEB19SUUTARL-145,KXNCAAMBTOTAL-26FEB19SUUTARL,TOTAL,145.5,southern utah@tarleton state
atlanta,NO,-114.5,0.610181,mid,0.51,0.100181,237116,13,1.3,0.196434,KXNBAGAME-26FEB19ATLPHI-ATL,KXNBAGAME-26FEB19ATLPHI,MONEYLINE,,atlanta@philadelphia 76ers
campbell,YES,54.0,0.539811,mid,0.47,0.069811,24960,9,0.63,0.148534,KXNCAAMBGAME-26FEB19WMCAMP-CAMP,KXNCAAMBGAME-26FEB19WMCAMP,MONEYLINE,,william mary@campbell
siena,NO,-192.0,0.62914,mid,0.58,0.04914,109,6,0.29,0.084725,KXNCAAMBGAME-26FEB20SIEMRMK-SIE,KXNCAAMBGAME-26FEB20SIEMRMK,MONEYLINE,,siena@merrimack
alabama,YES,700.0,0.116564,dog,0.07,0.046564,8144,2,0.09,0.665206,KXNCAAWBGAME-26FEB19SCARALA-ALA,KXNCAAWBGAME-26FEB19SCARALA,MONEYLINE,,south carolina@alabama
boston college,YES,178.0,0.336225,dog,0.29,0.046225,748,7,0.32,0.159395,KXNCAAWBGAME-26FEB19BCSMU-BC,KXNCAAWBGAME-26FEB19BCSMU,MONEYLINE,,boston college@smu
bay,NO,-330.0,0.73424,fav,0.69,0.04424,293,6,0.27,0.064116,KXNCAAMBGAME-26FEB20GBOAK-GB,KXNCAAMBGAME-26FEB20GBOAK,MONEYLINE,,bay@oakland
rider,NO,-102.0,0.482636,mid,0.44,0.042636,290,5,0.21,0.0969,KXNCAAMBGAME-26FEB20CANRID-RID,KXNCAAMBGAME-26FEB20CANRID,MONEYLINE,,canisius@rider
bowling,YES,300.0,0.239506,dog,0.2,0.039506,1036,8,0.32,0.197531,KXNCAAMBGAME-26FEB20BGSUMOH-BGSU,KXNCAAMBGAME-26FEB20BGSUMOH,MONEYLINE,,bowling@miami oh
brown,NO,104.0,0.46875,mid,0.43,0.03875,325,5,0.19,0.090116,KXNCAAMBGAME-26FEB20PRINBRWN-BRWN,KXNCAAMBGAME-26FEB20PRINBRWN,MONEYLINE,,princeton@brown
north carolina state,YES,320.0,0.22281,dog,0.19,0.03281,4384,7,0.23,0.172682,KXNCAAWBGAME-26FEB19NCSTDUKE-NCST,KXNCAAWBGAME-26FEB19NCSTDUKE,MONEYLINE,,north carolina state@duke
stanford,NO,-132.0,0.532258,mid,0.5,0.032258,3159,4,0.13,0.064516,KXNCAAWBGAME-26FEB19STANMIA-STAN,KXNCAAWBGAME-26FEB19STANMIA,MONEYLINE,,stanford@miami oh
oregon,YES,-180.0,0.600685,mid,0.57,0.030685,3359,4,0.12,0.053833,KXNCAAWBGAME-26FEB19NEBORE-ORE,KXNCAAWBGAME-26FEB19NEBORE,MONEYLINE,,nebraska@oregon
north dakota,NO,497.25,0.16057,dog,0.13,0.03057,1804,8,0.24,0.235157,KXNCAAMBGAME-26FEB19UMKCUND-UND,KXNCAAMBGAME-26FEB19UMKCUND,MONEYLINE,,umkc kangaroos@north dakota
long beach state,YES,210.5,0.30927,dog,0.28,0.02927,1865,4,0.12,0.104536,KXNCAAMBGAME-26FEB19UCILBSU-LBSU,KXNCAAMBGAME-26FEB19UCILBSU,MONEYLINE,,uc irvine@long beach state
prairie view am,NO,379.0,0.199012,dog,0.17,0.029012,10160,6,0.17,0.170658,KXNCAAMBGAME-26FEB19PVMVSU-PV,KXNCAAMBGAME-26FEB19PVMVSU,MONEYLINE,,prairie view am@mississippi valley state
winthrop,NO,705.5,0.11865,dog,0.09,0.02865,13042,5,0.14,0.318333,KXNCAAMBGAME-26FEB19SCUSWIN-WIN,KXNCAAMBGAME-26FEB19SCUSWIN,MONEYLINE,,usc upstate@winthrop
pittsburgh,YES,580.0,0.137421,dog,0.11,0.027421,2308,9,0.25,0.249279,KXNCAAWBGAME-26FEB19GTPITT-PITT,KXNCAAWBGAME-26FEB19GTPITT,MONEYLINE,,georgia tech@pittsburgh
montana,NO,105.0,0.467312,mid,0.44,0.027312,33940,3,0.08,0.062072,KXNCAAMBGAME-26FEB19MONTIDST-MONT,KXNCAAMBGAME-26FEB19MONTIDST,MONEYLINE,,montana@idaho state
unc asheville,YES,794.5,0.106615,dog,0.08,0.026615,10569,6,0.16,0.332683,KXNCAAMBGAME-26FEB19UNCAHP-UNCA,KXNCAAMBGAME-26FEB19UNCAHP,MONEYLINE,,unc asheville@high point
austin peay,NO,511.5,0.155799,dog,0.13,0.025799,5179,7,0.18,0.198453,KXNCAAMBGAME-26FEB19PEAYUNF-PEAY,KXNCAAMBGAME-26FEB19PEAYUNF,MONEYLINE,,austin peay@north florida
washington,YES,2000.0,0.045541,dog,0.02,0.025541,35420,2,0.05,1.277066,KXNCAAWBGAME-26FEB19WASHUCLA-WASH,KXNCAAWBGAME-26FEB19WASHUCLA,MONEYLINE,,washington@ucla
stonehill,YES,129.5,0.415423,mid,0.39,0.025423,1955,3,0.08,0.065187,KXNCAAMBGAME-26FEB19STNHNHC-STNH,KXNCAAMBGAME-26FEB19STNHNHC,MONEYLINE,,stonehill@new haven
presbyterian,YES,-164.5,0.593235,mid,0.57,0.023235,2330,3,0.07,0.040763,KXNCAAMBGAME-26FEB19LONGPRE-PRE,KXNCAAMBGAME-26FEB19LONGPRE,MONEYLINE,,longwood@presbyterian
iona,NO,-102.0,0.482636,mid,0.46,0.022636,253,3,0.07,0.049208,KXNCAAMBGAME-26FEB20SPCIONA-IONA,KXNCAAMBGAME-26FEB20SPCIONA,MONEYLINE,,saint peters@iona
utah valley,YES,-410.75,0.771568,fav,0.75,0.021568,8243,3,0.06,0.028758,KXNCAAMBGAME-26FEB19CBUUVU-UVU,KXNCAAMBGAME-26FEB19CBUUVU,MONEYLINE,,california baptist@utah valley
ole miss,NO,-600.0,0.801136,fav,0.78,0.021136,34881,4,0.08,0.027098,KXNCAAWBGAME-26FEB19LSUMISS-MISS,KXNCAAWBGAME-26FEB19LSUMISS,MONEYLINE,,lsu@ole miss
saint louis,YES,-465.0,0.79105,fav,0.77,0.02105,6762,3,0.06,0.027338,KXNCAAMBGAME-26FEB20VCUSLU-SLU,KXNCAAMBGAME-26FEB20VCUSLU,MONEYLINE,,vcu@saint louis
notre dame,YES,-5000.0,0.927247,fav,0.91,0.017247,4651,6,0.1,0.018953,KXNCAAWBGAME-26FEB19NDWAKE-ND,KXNCAAWBGAME-26FEB19NDWAKE,MONEYLINE,,notre dame@wake forest
