matchup_key,total,closest_kalshi_line,line_diff
creighton@st johns,155.5,156.5,1
east carolina@charlotte,145.0,145.5,0.5
florida@ole miss,150.5,151.5,1
north carolina central@howard,144.0,145.5,1.5
loyola chicago@saint josephs,141.5,141.5,0
wake forest@virginia tech,151.5,152.5,1
rutgers@minnesota,133.5,134.5,1
florida state@clemson,143.5,142.5,1
university at albany@umbc,145.0,,
georgia southern@appalachian state,147.5,146.5,1
binghamton@umass lowell,146.0,145.5,0.5
chattanooga@the citadel,143.0,142.5,0.5
cincinnati@kansas,138.5,139.5,1
marshall@coastal carolina,153.5,153.5,0
texas state@louisiana,136.0,137.5,1.5
western carolina@vmi,154.0,155.5,1.5
mississippi state@south carolina,151.5,151.5,0
north carolina@syracuse,154.0,153.5,0.5
navy@army,138.5,137.5,1
xavier musketeers@butler,159.5,,
central arkansas@florida gulf coast,151.5,151.5,0
central connecticut state@chicago state,139.5,138.5,1
loyola md@colgate,152.0,,
dartmouth@columbia,151.0,150.5,0.5
harvard@cornell,154.5,155.5,1
davidson@fordham,131.0,131.5,0.5
duquesne@dayton,148.5,148.5,0
delaware@middle tennessee,137.0,136.5,0.5
hofstra@northeastern,146.5,145.5,1
liu@mercyhurst,135.5,134.5,1
le moyne@stonehill,139.0,139.5,0.5
samford@mercer,156.0,157.5,1.5
umkc kangaroos@north dakota state,148.0,,
pennsylvania@yale,152.0,,
siu edwardsville@tennessee state,143.5,143.5,0
wagner@st francis pa,151.5,150.5,1
tennessee@vanderbilt,150.5,149.5,1
penn state@nebraska,148.5,148.5,0
miami oh@virginia,146.0,,
notre dame@pittsburgh,138.0,138.5,0.5
georgia tech@louisville,166.0,166.5,0.5
rhode island@la salle,136.0,135.5,0.5
kansas state@texas tech,157.5,156.5,1
unlv@air force,152.0,152.5,0.5
arkansas state@le moyne,164.5,,
missouri state@florida international,155.5,154.5,1
north dakota@south dakota state,151.5,151.5,0
ohio@northern illinois,150.5,151.5,1
old dominion@southern miss,147.5,147.5,0
west georgia@queens university,161.5,162.5,1
valparaiso@uic,139.0,140.5,1.5
utah valley@ut arlington,140.0,139.5,0.5
arizona@houston,142.0,,
washington@maryland,145.0,146.5,1.5
james madison@georgia state,143.0,144.5,1.5
jacksonville state@sam houston,149.5,149.5,0
north florida@stetson,162.5,161.5,1
texas@georgia,162.5,161.5,1
oklahoma state@colorado,163.0,163.5,0.5
southern utah@abilene christian,145.5,144.5,1
